Part_Number,web,the
shelf096,https://www.webstaurantstore.com/regency-21-x-72-nsf-green-epoxy-wire-shelf/460EG2172.html,https://www.therestaurantstore.com/items/47846
shelf097,https://www.webstaurantstore.com/regency-24-x-24-nsf-black-epoxy-wire-shelf/460EB2424.html,https://www.therestaurantstore.com/items/103477
shelf098,https://www.webstaurantstore.com/regency-24-x-24-nsf-chrome-wire-shelf/460EC2424.html,https://www.therestaurantstore.com/items/46376
shelf099,https://www.webstaurantstore.com/regency-24-x-24-nsf-green-epoxy-wire-shelf/460EG2424.html,https://www.therestaurantstore.com/items/32707
shelf100,https://www.webstaurantstore.com/regency-24-x-30-nsf-black-epoxy-wire-shelf/460EB2430.html,https://www.therestaurantstore.com/items/103438
shelf101,https://www.webstaurantstore.com/regency-24-x-30-nsf-chrome-wire-shelf/460EC2430.html,https://www.therestaurantstore.com/items/20252
shelf102,https://www.webstaurantstore.com/regency-24-x-30-nsf-green-epoxy-wire-shelf/460EG2430.html,https://www.therestaurantstore.com/items/63097
shelf103,https://www.webstaurantstore.com/regency-24-x-36-nsf-black-epoxy-wire-shelf/460EB2436.html,https://www.therestaurantstore.com/items/103490
shelf104,https://www.webstaurantstore.com/regency-24-x-36-nsf-chrome-wire-shelf/460EC2436.html,https://www.therestaurantstore.com/items/41430
shelf105,https://www.webstaurantstore.com/regency-24-x-36-nsf-green-epoxy-wire-shelf/460EG2436.html,https://www.therestaurantstore.com/items/68847
shelf106,https://www.webstaurantstore.com/regency-24-x-42-nsf-black-epoxy-wire-shelf/460EB2442.html,https://www.therestaurantstore.com/items/103423
shelf107,https://www.webstaurantstore.com/regency-24-x-42-nsf-chrome-wire-shelf/460EC2442.html,https://www.therestaurantstore.com/items/10884
shelf108,https://www.webstaurantstore.com/regency-24-x-42-nsf-green-epoxy-wire-shelf/460EG2442.html,https://www.therestaurantstore.com/items/41823
shelf109,https://www.webstaurantstore.com/regency-24-x-48-nsf-black-epoxy-wire-shelf/460EB2448.html,https://www.therestaurantstore.com/items/103453
shelf110,https://www.webstaurantstore.com/regency-24-x-48-nsf-chrome-wire-shelf/460EC2448.html,https://www.therestaurantstore.com/items/48023
shelf111,https://www.webstaurantstore.com/regency-24-x-48-nsf-green-epoxy-wire-shelf/460EG2448.html,https://www.therestaurantstore.com/items/2905
shelf112,https://www.webstaurantstore.com/regency-24-x-54-nsf-black-epoxy-wire-shelf/460EB2454.html,https://www.therestaurantstore.com/items/103488
shelf113,https://www.webstaurantstore.com/regency-24-x-54-nsf-chrome-wire-shelf/460EC2454.html,https://www.therestaurantstore.com/items/30543
