SKU,shelves_WS,shelves_THR,shelves_x,posts_WS,posts_THR,posts_x,split_sleeves_WS,split_sleeves_THR,split_sleeves_x,wheels_WS,wheels_THR,wheels_x
THR-SHELF-KIT-0012_30_60_green,https://www.webstaurantstore.com/regency-30-x-60-green-epoxy-wire-shelf/460EG3060.html,https://www.therestaurantstore.com/items/436089,4,https://www.webstaurantstore.com/regency-nsf-54-green-epoxy-mobile-shelving-post/460EGPC54.html,https://www.therestaurantstore.com/items/413340,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_72_black,https://www.webstaurantstore.com/regency-30-x-72-nsf-black-epoxy-wire-shelf/460EB3072.html,https://www.therestaurantstore.com/items/524292,4,https://www.webstaurantstore.com/regency-nsf-54-black-epoxy-mobile-shelving-post/460EBPC54.html,https://www.therestaurantstore.com/items/413314,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_72_chrome,https://www.webstaurantstore.com/regency-30-x-72-chrome-wire-shelf/460EC3072.html,https://www.therestaurantstore.com/items/436150,4,https://www.webstaurantstore.com/regency-nsf-54-chrome-mobile-shelving-post/460ECPC54.html,https://www.therestaurantstore.com/items/413228,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_30_72_green,https://www.webstaurantstore.com/regency-30-x-72-green-epoxy-wire-shelf/460EG3072.html,https://www.therestaurantstore.com/items/436174,4,https://www.webstaurantstore.com/regency-nsf-54-green-epoxy-mobile-shelving-post/460EGPC54.html,https://www.therestaurantstore.com/items/413340,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_48_black,https://www.webstaurantstore.com/regency-36-x-48-nsf-black-epoxy-wire-shelf/460EB3648.html,https://www.therestaurantstore.com/items/524277,4,https://www.webstaurantstore.com/regency-nsf-54-black-epoxy-mobile-shelving-post/460EBPC54.html,https://www.therestaurantstore.com/items/413314,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_48_chrome,https://www.webstaurantstore.com/regency-36-x-48-nsf-chrome-wire-shelf/460EC3648.html,https://www.therestaurantstore.com/items/497593,4,https://www.webstaurantstore.com/regency-nsf-54-chrome-mobile-shelving-post/460ECPC54.html,https://www.therestaurantstore.com/items/413228,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_48_green,https://www.webstaurantstore.com/regency-36-x-48-nsf-green-epoxy-wire-shelf/460EG3648.html,https://www.therestaurantstore.com/items/497630,4,https://www.webstaurantstore.com/regency-nsf-54-green-epoxy-mobile-shelving-post/460EGPC54.html,https://www.therestaurantstore.com/items/413340,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_54_black,https://www.webstaurantstore.com/regency-36-x-54-nsf-black-epoxy-wire-shelf/460EB3654.html,https://www.therestaurantstore.com/items/754234,4,https://www.webstaurantstore.com/regency-nsf-54-black-epoxy-mobile-shelving-post/460EBPC54.html,https://www.therestaurantstore.com/items/413314,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_54_chrome,https://www.webstaurantstore.com/regency-36-x-54-nsf-chrome-wire-shelf/460EC3654.html,https://www.therestaurantstore.com/items/753964,4,https://www.webstaurantstore.com/regency-nsf-54-chrome-mobile-shelving-post/460ECPC54.html,https://www.therestaurantstore.com/items/413228,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_54_green,https://www.webstaurantstore.com/regency-36-x-54-nsf-green-epoxy-wire-shelf/460EG3654.html,https://www.therestaurantstore.com/items/753980,4,https://www.webstaurantstore.com/regency-nsf-54-green-epoxy-mobile-shelving-post/460EGPC54.html,https://www.therestaurantstore.com/items/413340,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_60_black,https://www.webstaurantstore.com/regency-36-x-60-nsf-black-epoxy-wire-shelf/460EB3660.html,https://www.therestaurantstore.com/items/524380,4,https://www.webstaurantstore.com/regency-nsf-54-black-epoxy-mobile-shelving-post/460EBPC54.html,https://www.therestaurantstore.com/items/413314,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_60_chrome,https://www.webstaurantstore.com/regency-36-x-60-nsf-chrome-wire-shelf/460EC3660.html,https://www.therestaurantstore.com/items/497528,4,https://www.webstaurantstore.com/regency-nsf-54-chrome-mobile-shelving-post/460ECPC54.html,https://www.therestaurantstore.com/items/413228,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_60_green,https://www.webstaurantstore.com/regency-36-x-60-nsf-green-epoxy-wire-shelf/460EG3660.html,https://www.therestaurantstore.com/items/497568,4,https://www.webstaurantstore.com/regency-nsf-54-green-epoxy-mobile-shelving-post/460EGPC54.html,https://www.therestaurantstore.com/items/413340,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_72_black,https://www.webstaurantstore.com/regency-36-x-72-nsf-black-epoxy-wire-shelf/460EB3672.html,https://www.therestaurantstore.com/items/524450,4,https://www.webstaurantstore.com/regency-nsf-54-black-epoxy-mobile-shelving-post/460EBPC54.html,https://www.therestaurantstore.com/items/413314,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_72_chrome,https://www.webstaurantstore.com/regency-36-x-72-nsf-chrome-wire-shelf/460EC3672.html,https://www.therestaurantstore.com/items/497498,4,https://www.webstaurantstore.com/regency-nsf-54-chrome-mobile-shelving-post/460ECPC54.html,https://www.therestaurantstore.com/items/413228,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
THR-SHELF-KIT-0012_36_72_green,https://www.webstaurantstore.com/regency-36-x-72-nsf-green-epoxy-wire-shelf/460EG3672.html,https://www.therestaurantstore.com/items/497541,4,https://www.webstaurantstore.com/regency-nsf-54-green-epoxy-mobile-shelving-post/460EGPC54.html,https://www.therestaurantstore.com/items/413340,4,https://www.webstaurantstore.com/regency-shelving-split-sleeves-pack/460SSLEEVE.html,https://www.therestaurantstore.com/items/13119,4,https://www.webstaurantstore.com/regency-replacement-5-polyurethane-shelving-stem-caster-with-brake/4605POLYMPBX.html,https://www.therestaurantstore.com/items/57335,4
